	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290
YHR093W	-0.28	0.58	0.06	-0.03	0.13	-0.32	0.29	-0.6	0.31	-0.35	-0.02	0.05	0.41	-0.22	0.29	-0.31	0.23	-0.22	0.56	0.03	0.5	-0.19	-0.25	-0.67
YHR094C	0.08	1.16	-0.19	-0.06	-0.54	-0.69	-0.35	0.12	-0.02	-0.16	0.31	0.5	-0.14	0.71	0.54	-0.98	0.52	-0.25	0.61	-0.25	0.78	-0.86	-0.4	-0.43
YHR095W	-0.23	0.11	-0.33	-0.09	1	-0.47	0.43	-0.5	0.42	-0.36	0.31		0.7	0.42	1.24	-0.85		0.05	0.53	0.08		-0.76	-0.79	-0.89
YHR096C	-0.32	0.57	-0.19	-0.74	0.38	-1.05	0.81	-0.48	1.21	-0.12	0.76	-0.57	0.47	-0.24	0.68	-0.68	0.89	-0.89	1.3	0.08	0.67	-0.79	-1.03	-0.72
YHR097C	-0.45	-0.05	0.27	-0.05	-0.19	-0.63	-0.36	-0.5	-0.5	-0.02	-0.17	-0.22	0.15	-0.08	0.28	-0.42	-0.33	-0.42	-0.09	0.39	0.47	1.08	0.89	0.95
YHR098C	-0.15	-0.11	0.08	0.67	0	0.45	0.04	0.04	-0.33	0.06	-0.09	0	0.02	0.48	0.45	0.2	-0.09	-0.02	-0.75	-1.06	0.06	0.06	-0.04	0.02
YHR099W	-0.6	0.23	-1.2	0.17	0.47	-0.37	0.29	-0.08	0.36	-0.53	-0.02	0.07	0.56	0.44	0.78	-0.33	0.12	-0.03	0.42	-0.05	1.07	-0.56	-0.47	-0.75
YHR100C	-0.11	-0.08	-0.03	0.24		0.13		0.17		-0.03		0.13		0.28		0.01		0.19				-0.4	-0.4	-0.08
YHR101C	-0.7	-0.03	0.03	-0.25	0.31	-0.13	0.28	-0.27	0.28	-0.07	-0.25	-0.01	0.26	0.17	0.78	-0.15	0.01	-0.32	0.83	-0.01	0.43	-0.32	-0.45	-0.43
YHR102W	0.07	-0.14	-0.18	-0.06	0.45	-0.41	-0.02	0.13	0.11	-0.23	0.26	0	0.19	0.42	0.2	-0.3	0.22	-0.43	0.28	0.45	0.04	-0.21	-0.34	-0.49
YHR103W		0.94	0.02	0.27	-0.01	-0.2	-0.25	-0.32	-0.96	0.3	0.13	0.17	0.01	0.15	0.09	0.18	-0.27	-0.28	-0.15	0.17	-0.03	0.45	-0.08	-0.3
YHR104W																								
YHR105W																								
YHR106W	0.05	0.18	0.2	-0.09	-0.25	-1.38	-0.41	-0.15	-0.41	0.11	-0.17	1.21	0.05	0.09	0.18	0	0.04	-0.15	0.26	-0.06	0.09	0.22	0.18	0.2
YHR107C		0.12					0.81						0.2							0.39		-1.53		
YHR108W	-0.31	-0.38	-0.01	0.41	0.23	0.47	-0.14	0.19	-0.41	0.07	-0.51	0.3	-0.25	0.38	-0.23	0.69	0.09	0.34	0.09	-0.75	-0.29	0.05	0.05	-0.09
YHR109W		-0.9					1.01					-0.1												
YHR110W	-0.14	0.32	0.85	-0.02	-0.19	-0.57	-0.93	-1.02	-0.91	0.48	0.36	0.88	0.44	0.88	-0.36	0.15	-0.47	-0.41	-0.24	-0.25	-0.49	0.56	0.45	0.64
YHR111W	-0.05	0	-0.38												0.43									
YHR112C	0.13	-0.09	-0.22	-0.23	-0.08	-0.28	-0.6	-0.46	-0.23	0.28	-0.17	0.45	-0.15	0.34	-0.56	0.03	-0.11	0.09	0.16	0.26	0.14	0.29	0.54	0.45
YHR113W	0.35	0.29	0.03		-0.34	-0.54	-0.14		0.1	0.11	-0.04	0.23	0.41	0.3	-0.72		-0.18		-0.46	-0.79	0.02	0.32	0.56	0.49
YHR114W	0.38	0.26	0.23	0.02	-0.3	-0.06	-0.35	0.18	-0.37	0.07	-0.48	0.07	-0.13	0.07		0.02	-0.19	-0.21	-0.04	0.39	0.16	0.1	-0.01	0.19
YHR115C	0.27	0.11	0.07	0.23	0.05	0.51	0.46	0.41	0.08	0.36	-0.34	0.14	-0.09	0.02	-0.68	0.13	0.04	0.24	-0.38	-0.93	-0.4	0	-0.18	-0.11
YHR116W	-0.49	-0.47	-0.57	-0.79	-0.31	-0.55	-0.31	0.09	-0.12	0.2	-0.12	0.13	-0.36	-0.24	0.26	0.01	-0.18	0.46	-0.13	0.56	0.25	0.54	0.91	1.21
YHR117W	-0.47	-0.47	-0.04	0.01	-0.09	0.02	1.1	0.1	-0.7	0.1	-0.06	0.29	0.17	0.37	-0.02	0.13	-0.49	0.02	-0.53	-0.07	-0.07	0.29	0.15	0.27
YHR118C	-0.3	-0.09	0.32	-0.15		-0.37				-0.05		0.23		0.35		-0.19		-0.05				0.15	-0.05	0.18
YHR119W	-0.45	-0.2	-0.08	0.16	0.27	0	0.33	0	-0.02	-0.29	-0.07	-0.24	0.27	0.3	0.34	0.25	0.41	-0.02	-0.29	0.48	-0.03	-0.18	-0.39	-0.54
YHR120W	0.28	0.11	0.39	-0.19	-0.1	-0.13	-0.29	0.04	2.05	0.23	-0.27	0.57	-0.36	0.28	0.17	-0.23	-0.32	-0.52	-0.15	-0.32	0.14	-0.47	-0.36	-0.55
YHR121W	-0.19	-0.14	0.1	0.08	-0.04	-0.08	0.01	0.01	-0.37	-0.03	-0.17	0.05	-0.23	0.34	-0.05	0.05	-0.25	0.12	-0.4	0.53	-0.42	0.4	0.27	0.41
YHR122W						0.04	-0.41	0.38																
YHR123W	-0.49	0.17	0.17	-0.04	0.17	-0.56	0.06	-0.47	0.52	0.04	0.54	0.32	0.7	0.04	1.37	-0.49	0.19	-0.54	-0.05	-0.45	0.39	-0.54	-0.58	-0.47
YHR124W																								
YHR125W		0.65	0.38	0.04		-0.15		0.01		-0.06				-0.06		-0.58		0.14				-0.24	0.11	-0.24
YHR126C	0.68	1	-0.27	-0.61						0.32				-0.29				-0.13				-0.17		-0.53
YHR127W	0.21	0.21	0.59	0.1	1.01	-0.51	-0.34	-0.28	-0.3	0.1	0.17	0.49	0.21	0.44	-0.54	-0.32	-0.56	-0.1	-0.95	0.18	-0.3	0.34	-0.05	0.2
YHR128W					0.18		-0.18																	
YHR129C	-0.22	-0.05	0.52	-0.16	0.1	-0.07	1.33	0.02	0.25	-0.12	-0.39	0.15	0.11	0.29	0.52	-0.18	-0.22	-0.22	-0.12	-0.52	-0.12	-0.36	-0.24	-0.31
YHR130C	0.12	0.06	0.22	-0.2	0.28	-0.22	0.03	-0.05	0.03	0.03	0.01	-0.38	0.14	-0.14	0.14	-0.61	0.15	-0.18	0.39	0.29	0.53	-0.44	-0.16	-0.05
YHR131C	0.16	-0.27	0.08	0.15	0.03	0.36	0.03	0.39	0.14	0.35	-0.22	0.25	0.12	-0.18		0.14	-0.06	-0.01	-0.74	-0.57	-0.35	0.19	0.02	0
YHR132C	-0.21	-0.19	0.13	-0.11	0.1	0.15	-0.26	0.2	-0.29	0.14	-0.35	0.17	-0.16	0.03	-0.28	-0.02	1.12	0.13	0.14	0.06	-0.22	-0.22	-0.11	0.06
YHR133C	-0.07	-0.09	0.11	0.25	0.18	0.45	0.03	0.4	-0.39	0.4	0.02	0.41	0.33	0.14		0.03	-0.3	0.26	-0.43	-1.2	-0.71	0.13	-0.03	0.08
YHR134W	0.01	-0.09	0.12	0.15	0.01	-0.1	-0.33	0.12	-0.38	0.02	-0.42	0.05	-0.53	0.11	0.28	-0.01	0.35	0.12	0.19	0.17	0.17	0.06	-0.12	0.06
YHR135C	0.3	0.12	0.48	0.9	0.26	0.71	-0.21	0.44	-1.07	0.14	-0.84	0.03	-0.15	0.36		0.48	-0.51	0.45	-0.84	-0.45	-1.11	0.21	0.17	0.12
YHR136C	-1.02	-0.93	-0.53	-0.34	-0.1	0.12	-0.17	0.3	-0.09	0.23	-0.28	0.36	-0.15	0.1	0.32	0.27	0.36	0.43	0.13	0.53	0.01	0.13	0.06	0.27
YHR137W	-2.08	-2.34	-2.25	-0.42	0.29	0.78	1.01	1.35	0.58	0.74	-0.08	0.18	0.4	0.02	0	0.56	0.51	0.52	0.37	-0.39	-0.12	0.16	-0.02	0.23
YHR138C	-0.45	-0.75	-0.81	-0.43	0.1	-0.17	0.09	0.14	0.4	0.08	-0.31	-0.11	-0.36	-0.23	0.3	-0.05	0.79	0.24	0.49	0.23	0.24	0.05	0.09	0.42
YHR139C	-0.39	0.14	0.01	0.38	0.69	0.26	0.47	0.31	-0.11	-0.52	-0.24	-0.49		0.51	0.63	-0.09		-0.6	0.17	-0.36	0.88	-0.63	-0.49	-0.52
YHR139C-A		0.4	-0.1	-0.23		-0.38		-0.02	0.33	-0.13	-0.29		1.07	0.26	0.66	-0.5		-0.06		0.35		-0.63	0.04	-0.77
YHR140W	0.13	0.27	-0.09	-2.13	1.03	-0.88	0.55	-1.91	0.63	-0.73	-0.03		0.73	-0.24	0.6	-1.33	1.38	-0.82	1.09	0.81	1.45	-0.62	0.18	-0.07
YHR141C	-0.56	-0.32	-0.17	-0.17	0.08	-0.37	0.35	-0.03	0	0.03	0.32	0.09	-0.13	0.2	0.53	-0.3	0.14	-0.04	-0.49	0.9	0.34	-0.27	-0.27	0.14
YHR142W	0.07	-0.01	0.27	0.29	0.54	0.09	0.59	-1.15	0.27	0.12	0.48	0.42	0.49	-0.16	-0.57	-0.57	-0.43	-0.24	0.03	-0.75	0.24	0.12	-0.11	-0.01
YHR143W	-2.38	0.86	1.19	-1.19	-0.98	-0.36	-1.54	-2.1	-1.67	0.82	2.02	2.13	1.99	0.87	0.4	-0.52	-0.57	-0.94	-0.8	-1.14	0.55	1.01	1.12	1.23
YHR143W-A	0.35	0.44	0.2	0.2	0.12	0.27	0.02	0.29	-0.81	0.2	-0.02	0.19	-0.63	0.12	-0.34	0.21	-0.5	0.4	-1.07	0	-0.1	0.04	0.07	0.38
YHR144C	-0.02	0.43	-0.37	0.21	-0.17	-0.35	0.31	-0.1	-0.35	-0.09	0.21	0.1	-0.09	0.55	0.27	-0.17	-0.43	-0.2	0.04	0.48	0.53	-0.31	-0.22	-0.24
YHR145C	0.85	0.59	0.52	0.61	0.37	0.41	-0.15	0.61	-0.33	0.26	-0.43	0.05	-0.56	0.3	-0.78	0.09	-0.84	-0.17	-0.59	0.03	-1.03	0.05	-0.01	0.14
YHR146W	-0.04	-0.04	0.07	0.99	0.01	0.25	-0.25	-0.35	-0.93	-0.47	-0.5	-0.35	-0.35	0.87	0.19	0.63	-0.23	0.29	-0.14	0.95	-0.19	-0.06	-0.37	0.03
YHR147C	-0.56	-0.89	-0.76	-0.32	-0.2	-0.14	-0.03	0.12	-0.18	0.25	0.19	0.38	0.17	0.13	-0.16	0.24	-0.22	0.18	0.02	0.12	0.2	0.61	0.34	0.52
YHR148W	0.64	0.67	0.15	0.28	-0.32	0.05	0.05	0.14	-0.5	0.12	-0.16	0.06	-0.39	-0.13	0.11	0.36	-0.32	0.11	-0.66	0.25	0.3	-0.15	-0.48	-0.19
YHR149C	0.37	0.72	0.18	0.28	-0.1	-0.32	-0.29	0.01	-0.05	0.4	0.27	0.41	0.29	0.43	-0.23	0.12	-0.29	-0.48	-0.2	0.05	-0.57	-0.08	-0.38	-0.53
YHR150W	-0.12	0.14	-0.04	-0.2	-0.15		0.3	-0.27	-0.2	-0.19	0.02	-0.03	0.13	0.37	0.49	-0.15	0.33	-0.38	0.03	0.31	0.86	-0.48	-0.29	-0.48
YHR151C	0.25	-0.09	-0.86	-0.5	0.4	-0.5	0.91	-0.11	1.29	-0.65	0.32	-0.2	0.19	0.16	0.18	-0.75	0.87	-0.56	1.2	0.16	0.72	-0.63	-0.77	-1
YHR152W				-1.39							1.39													
YHR153C	0.03	0.53	0.53	-0.22	-0.07	0.47	-0.26	-0.38	-0.38	-0.15	0.31	0.62	0.29	0.03	0.45	-0.38		-0.52	0.01	-0.26	0.46	-0.43	-0.28	-0.38
YHR154W	-0.3	-0.01	0.1	0.52		-0.3		-0.28		-0.19	0.41		0.86	0.68		-0.09		-0.23				-0.47	-0.3	-0.42
YHR155W	0.03	0.24	0.02	0.2	0.1	-0.29	0.9	0.1	0.49	-0.62	0.05	1.45	0.31	-0.36		-0.9		0				-0.97	-0.02	-0.76
YHR156C						-0.35										-0.14							0.49	
YHR157W	-0.26	0.39	0.27	0.03	0.26	-0.43	0.53	0.38	-0.07	-0.09	-0.16	-0.04	-0.34	0.01	0.85	-0.62	0.63	-0.04	-0.11	0.34		-0.76	-0.43	-0.34
YHR158C	0.43	0.76	0.82							-1.39	1.12			-1.55								-0.35	0.63	-0.47
YHR159W	-0.36	0.32	0.23	-0.11	-0.24	-0.39	0	-0.43	-0.26	0.39	0.05	0.27	-0.02	0.14	0.27	-0.18	-0.28	-0.34	-0.13	0	0.6	0.05	0.24	0.2
YHR160C								-1.29									1.29							
YHR161C	-0.52	-0.25	-0.02	0.09	-0.05	0.15	-0.23	0.26	-0.29	0.08	-0.39	-0.04	-0.09	0.19	-0.05	0.06	-0.12	-0.14	-0.5	0.25	-0.02	0.43	0.54	0.66
YHR162W							1.34	-0.92		-1.93				1.5										
YHR163W	0.07	-0.38	-0.31	-1.21	0.13	0.34	0.35	0.49	0.3	0.27	-0.13	0.1	-0.05	-0.07	-0.02	-0.02	0.07	0.24	-0.17	-0.21	0.13	0.05	-0.05	0.08
YHR164C	0.2	-0.07	-0.15	-1.66	0.83	-1.84	0.44	-1.22	0.16	-2.72	1.01	2.06	0.07	0.76	0.99	0.04		0.65	0.77	0.19	1.38	-1.4	0.42	-0.91
YHR165C	-0.06	-0.01	-0.47	-0.17	0.02	-0.41	0.05	-0.37	0.16	-0.01	0.19	0.26	0.77	-0.37	0.25	-0.37	0.43	-0.37	0.48	-0.08	1.12	-0.58	-0.03	-0.39
YHR166C	-0.21	0.01	0.07	0.05	0.08	-0.66	0.02	-0.09	0.36	-0.42	-0.07	-0.18	0.24	0.63	0.54	-0.36	0.19	-0.42	0.18	0.07	0.92	-0.35	-0.26	-0.35
YHR167W	0.37	0.14	0.16	0.08	-0.02	-0.01	1.57	0.02	-0.37	-0.07	-0.13	0.02	0	0.1	-0.14	0.11	-0.22	0.08	-0.34	-0.14	-0.37	-0.08	-0.24	-0.51
YHR168W	-0.47	0.01	-0.57	-0.42	-0.42	-0.7	0.02	-0.09	0.4	0.01	0.33	0.24	-0.1	0.91	0.27	-0.24	-0.16	-0.47	0.14	0.66	0.47	0.1	0.11	-0.05
YHR169W	1.31	0.91	0.36	0.65	0.06	0.42	-0.3	0.23	-0.51	0.07	-0.28	-0.04	-0.41	0.13	-0.34		0.17	0.31	-0.07	-0.07	-0.53	-0.45	-1.06	-0.55
YHR170W	0.96	0.92	0.33	0.4	0.12	0.21	-0.84	0.3	-0.86	0.21	-0.38	-0.02	-0.56	0.21	0.34	0.46	0.12	0.1	-0.48	0.33	-0.12	-0.44	-0.74	-0.6
YHR171W	-0.19	-0.12	-0.03	-0.28	0.23	-0.33	-0.03	-0.36	0.2	-0.41	0.29	0.45	0.28	0.27	0.8	-1.7	0.3	-0.68	0.26	0.53	1.05	-0.07	-0.3	-0.16
YHR172W	-0.09	0.03	-0.02	0.52	0.48	-0.17	0.3	-0.43	-0.43	-0.45	0.47	0.16	0.69	0.3	0.82	-1.08	0.52	-1.15	0.31	0.64	0.83	-0.45	-0.43	-1.36
YHR173C																								
YHR174W	-1.46	-1.72	-1.6	-0.44	0.37	-0.15	0.18	0.13	0.57	0.11	0.02	0.22	0.81	0.08	0.83	0.19	0.81	0.25	0.78	0.37	0.57	-0.28	-0.31	-0.31
YHR175W	-0.79	-0.67	-0.5	0.21	0.47	0.05	-0.17	-0.1	-0.05	-0.27	0.05	0.21	0.46	0.14	0.21	0.12	0.53	-0.03	0.44	-0.3	0.39	-0.2	-0.14	-0.03
YHR176W																								
YHR177W	-0.02	0.12	0.14	0.4	0.45	-0.01	0.09	0.25	-0.5	-0.07	-0.32	0.14	-0.01	-0.11	0.3	-0.26		-0.39	0.18	-0.06	0.55	-0.68	-0.09	-0.11
YHR178W				1.78		-0.58																-1.2		
YHR179W	0.88	0.23	-0.16	0.77	0.33	0.55	0.09	0.31	-0.47	0.1	-0.84	0.05	-0.52	0.1	-0.04	0.65	-0.29	0.41	-0.94	-0.22	-0.86	-0.07	-0.07	0.01
YHR180W	0.1	0.68	0.36							-1.15														
YHR181W	-0.18	-0.24	-0.27	-0.04	0.55	0.14	0.56	0.11	0.35	0.06	0.06	0.26	0.26	-0.03	0.39	-0.04	0.24	-0.08	-0.15	-0.73	-0.3	-0.33	-0.3	-0.3
YHR182W	-1.19	-0.05	-0.02						2.15							-1.52	0.63							
YHR183W	-0.69	-0.87	-0.34	0.24	0.71	0.64	0.77	0.46	0.67	0	-0.2	-0.09	-0.11	-0.13	-0.11	0.1	0.24	0.36	-0.09	-0.76	-0.48	-0.15	-0.22	0.04
YHR184W		0.37	-0.16	0.63	-0.06			0.18	-0.06	-0.24	0.57		0.36		0.57	-0.83		-0.3	1.1	-0.3		-0.96		-0.86
YHR185C	0.02	0.49	0.05	-0.12	0.57	-0.18	0.63	0.29	0.62	0	-0.46		0.62	-0.24	1.26	-0.98		-0.41				-0.95	-0.59	-0.59
YHR186C	0.2	0.54	-0.34	0.07	-0.42	0.27	0.83	0.1	-0.54	0.25	0.02	-0.15	0.1	0.15	0.1	-0.01	-0.54	0.01	0.13	-0.47	-0.15	-0.04	0.23	-0.36
YHR187W	0.11	0.38	0.33	-0.06	0.13	-0.05	0.02	0.38	0.11	-0.85	-0.29	-0.05	-0.01	0.25	0.47	-0.47	1.17	-0.82	0.18	-0.2	0.42	-0.42	-0.4	-0.32
YHR188C	-0.44	-0.44	-0.16	0.08	-0.04	-0.25	-0.24	-0.19	-0.03	0.12	0.39	0.5	0.51	0.19	0.6	-0.22	0.03	-0.5	0.09	-0.14	0.71	-0.24	-0.22	-0.1
YHR189W	-0.35	-0.16	-0.46	-0.17		-0.21	0.73	-0.13	0.35	0.33		0.3	0.05	-0.11		-0.14		-0.31				0.2	0.11	-0.03
YHR190W	-1.11	-0.98	-0.68	-0.08	0.02	0.14	-0.13	0.11	-0.18	0.24	0.14	0.38	0.14	0.14	0.43	0.11	0.07	0.14	0.05	0.21	0.71	0.04	-0.03	0.1
YHR191C																								
YHR192W	-0.18	-0.04	0.13	-0.19	-0.39	-0.24	-0.26	-0.05	-0.24	-0.16	-0.13	0.13	-0.02	0.24	0.96	-0.07	-0.24	-0.02	-0.31	0.52	0.34	0.06	0.03	0.14
YHR193C	-0.32	-0.07	0.09	-0.22		-0.27		-0.1		0.04		-0.05		0.15		-0.06		-0.08				0.28	0.09	0.53
YHR194W	-0.23	-0.35	-0.61	-0.29	-0.12	-0.12	0.05	-0.07	-0.26	-0.03	0.17	0.16	0.18	0.08	0.37	-0.19	0.04	-0.07	0.51	0.41	0.51	-0.06	-0.12	0.06
YHR195W	0.42	0.14	-0.14	-0.43		-0.46		0.04		-0.02		-0.27		-0.08		-0.16		-0.1				0.54	0.14	0.35
YHR196W	0.81	0.71	0.33	0.16	-0.12	0.23	-0.15	0.28	-0.58	0.19	-0.43	0.06	-0.56	-0.02	-0.13	0.4	-0.29	0.02	-0.09	0.3	-0.5	0.05	-0.36	-0.31
YHR197W	0.35	0.4	0	0.15	0.34	0.16	0.34	0.3	0.29	0.16	0.04	-0.12	-0.09	-0.12	-0.07	0.4	0.26	-0.21	0.13	-0.45	-0.45	-0.41	-0.71	-0.71
YHR198C	-0.21	-0.16	-0.37	0.02	-0.17	-0.81	0.01	0.04	-0.25	0.01	0.08	0.3	-0.08	-0.06	0.52	0.24	-0.01	0.13	0.23	0.02	0.59	0.03	-0.14	0.05
YHR199C	0.04	0.17	0.1	-0.14	0.26	-0.33	-0.13	0.4	0.25	0.21	0.04	0.58	-0.08	0.14	-0.01	-0.71	0.18	-0.14	0.15	-0.35	0.52	-0.59	-0.33	-0.23
YHR200W	-0.02	0.03	0.12	0.23	-0.71	0.37	-0.35	0.03	-0.95	0.27	-0.48	0.23	-0.53	0.38	0.19	0.34	-1.59	0.53	-0.26	-0.33	0.14	0.81	0.7	0.84
YHR201C	0.26	0.23	0.2	0.1	-0.39	0.17	-0.24	0.1	-0.69	0.27	-0.66	0.33	-0.58	0.09	-0.37	0.18	-0.43	0.3	-0.58	0.24	-0.39	0.7	0.47	0.7
YHR202W		-0.6	-0.28	-0.47	-0.21	-0.16	-0.04	-0.35	-0.3	0.01	0.06	0.24	0.02	0.89	0.7	-0.02	-0.07	-0.28	0.31	-0.21	0.38	-0.34	0.37	0.36
YHR203C	-0.33	-0.11	0.21	0.26	0.25	0.39	0.18	0.37	-0.06	0.37	-0.31	0.3	-0.45	0.17	-0.35	-0.06	-0.22	0.23	-0.59	0.12	-0.29	-0.03	-0.08	0.02
YHR204W	-0.02	0.11	0.48	0.48	-0.1	0.39	0.11	0	-0.58	0.38	0.09	0.41	0.06	0.2	0.09	-0.19	0.55	-0.1	-0.94	-1.15	-0.19	0.09	-0.1	-0.08
YHR205W	0.31	-0.06	-0.1	0.51	0.47	0.43	0.37	0.21	0.3	-0.15	-0.45	-0.35	-0.29	-0.12	-0.06	0.1	0.3	-0.01	-0.01	-0.17	-0.07	-0.33	-0.29	-0.53
YHR206W																								
YHR207C	0.18	0.33	0.4	0.32	-0.15	0.25	0.05	0.13	-0.41	-0.01	-0.54	-0.03	-0.28	0.03	-0.13	0.2	0	0.03	0	-0.12	-0.05	0.03	-0.13	-0.12
YHR208W																								
YHR209W	-0.63	-0.99	0.36	-0.08	1.28	-0.32	1.69	-0.37	0.16	-0.7	-0.05	0.03	-0.1	-0.4		-0.78	0.79	-1.19	0.44	0.1	1.5	-0.47	-0.26	0
YHR210C																-0.88							0.88	
YHR211W	-0.27	0.04	0.07	0.24	0.39	0.33	0.38	0.24	0.38	0.02	-0.17	0.01	0.18	-0.17	0.21	-0.22	0.03	-0.32	0.17	-0.61	0.09	-0.43	-0.32	-0.27
YHR212C	-0.62	0.15	0.4	0.15	0.26	-0.35	0.35	-0.25	0.3	-0.33	0.28	-0.22	0.51	-0.09	0.6	-0.15	0.15	0.03	0.15	0.12	0.38	-0.33	-0.68	-0.83
YHR213W	0.15	0.25	0.25	0.02	0.41	-0.47	0.14	0.1	0.4	-0.22	0.35	0.07	0.31	-0.07	-0.12	-0.28	-0.03	-0.4	0.24	-0.34	0.13	-0.21	-0.29	-0.37
YHR214C-B	0.19	0.28	-0.02	0.3	0.15	0.36	-0.05	0.48	-0.16	0.32	-0.25	0.28	-0.22	0.11	-0.38	-0.16	-0.55	-0.13	-0.34	0.13	-0.15	-0.1	-0.11	0.01
YHR214W																								
YHR214W-A		-0.25	-0.96		0.14		0.36		0.06		-0.3		0.52	-0.66	0.26		0.27		0.76	0.16	0.94	-0.66	-0.64	
YHR215W	-1.02	-1.12	-1.79	-0.63		1.11		2.03		1.18		0.27		-0.21		0.25		1.19				0.19	-0.56	-0.88
YHR216W	-0.16	0.53	0.46	0.27	0.41	-0.12	0.07	-0.07	0.32	-0.27	0	-0.25	-0.1	-0.33	0.19	0.01	0.1	-0.02	0.16	0.03	0.38	-0.47	-0.47	-0.69
YHR217C	0.22	0.19	-0.17	-0.33		-0.15		-0.07		0.33		0.59		0.12		-0.63		-0.2				0.1	0.18	-0.17
YHR218W	0.23	0.74	-0.22	-0.61	-0.76	-0.68	-0.73	-0.01	0.18	1.22	1	0.86	0.49	0.23	-0.32	-0.51	-0.97	-0.63	-0.32	0.08	0.58	0.44	0.02	-0.3
YHR219W	0.22	0.51	-0.23	-0.19		-0.4	-0.26	-0.18		0.95		0.6		0.18		-0.51		-0.84				0.31	0.12	-0.26
YIL001W	-0.53	-0.56	-0.37	-0.32	0.2	-0.2	0.4	-0.34	1.04	-0.48	0.19	-0.08	0.57	-0.22	0.92	-0.24		-0.41	0.54	0.32	1.32	-0.67	-0.48	-0.61
YIL002C	-0.03	0.17	0.03	-0.44	0.35		0.08	-0.17	0.23	0.03	-0.23		0.26	0.31	0.17	-0.37	0.22	-0.44	0.59	0.45	-0.09	-0.78		-0.34
YIL003W			-0.48		0.81															-0.61			0.28	
YIL004C																								
YIL005W	-0.29	-0.07	-0.02	0.27	-0.15	0.18	-0.02	0.05	-0.23	0.06	0.11	-0.09	0.05	0.03	0.35	0.13	-0.11	0.1	-0.23	-0.23	-0.4	0.13	0.35	0.05
YIL006W	-0.36	-0.26	-0.44	0.04	0.32	-0.2	0.61	0.21	0.39	0.06	0.07	-0.02	0.23	-0.16	0.16	-0.52	0.29	-0.38	0.61	-0.31	0.69	-0.44	-0.38	-0.24
YIL007C	0.35	0.61	0.48	-0.11	-0.24	-0.43	0.48	-0.19	-0.17	0.01	0.01	-0.54	0.36	-0.24	0.14	-0.19	-0.24	-0.24	-0.26	-0.09	0.24	0.2	0.07	0.01
YIL008W	0.28	0.67	0.76	-0.03	0.15	0.23	0.12	0.41	-0.06	0.12	-0.47	-0.03	-0.33	-0.14	-0.49	-0.17	-0.33	-0.04	-0.74	0.07	-0.6	0.14	-0.04	0.53
YIL009W	0.66	0.55	-0.77	-0.95	-1.44	-0.39	-0.67	0.2	-0.22	1.31	0.38	0.66	-0.26	-0.17	-0.44	-0.34	-0.84	0.03	0.07	-0.13	0.63	1.21	0.65	0.26
YIL010W	0.41	0.16	0.09	-0.11	-0.34	0.01	-0.36	-0.01	-0.48	0.12	-0.52	0.16	-0.52	0.16	-0.62	0.23	-0.39	0.28	-0.56	0.15	-0.18	0.64	0.62	1.05
YIL011W	-0.95	-0.71	-0.4	0.1	0.17	0.38	0.39	0.31	0.41	0.12	-0.09	0.07	0.18	-0.1	0.06	0.07	0.08	0.4	0.6	-0.91	0.56	-0.07	-0.29	-0.37
YIL012W	0.11	0.39	0.09	-0.8	0.39	-0.14	1.06	-0.8	0.54	-0.04	0.28			-0.61		-0.61		-0.27	0.5	0.16	1.39	-0.37	-0.53	-0.74
YIL013C	-0.25	-0.16	-0.14	0.14	0	-0.38	0.06	0.03	0.22	0.17	-0.13	0.23	0.38	0.13	0.18	-0.05	0.01	-0.11	0.47	-0.54	0.49	-0.23	-0.46	-0.09
YIL014W	0.69	0.21	0.11	0.08	0.21	0.33	0.26	0.17	0.06	-0.18	-0.42	-0.07	-0.31	-0.4	-0.24	-0.04	0.21	-0.22	0.03	0.14	0.25	-0.53	-0.22	-0.11
YIL015C-A	0.18	-0.11	-0.05	0.37	-0.05	0.03	-0.1	0.19	-0.11	0.3	-0.1	0.43	-0.26	0.09	-0.33	-0.02	-0.19	0.05	-0.36	-0.67	0.31	-0.05	0.33	0.13
YIL015W	-0.59	0.39	0.17	-0.68	0.24	-0.79	0.59	-0.52	0.37	-0.65	0.17		0.63			-0.83	0.38			0.16	0.86	-0.42	0.09	0.42
YIL016W	-0.12	0.24	0.15	-0.19	0.18	-0.26	0.2	-0.26	-0.1	0.12	-0.23	0.26	-0.2	-0.37	0.12	-0.34	-0.05	-0.16	0.31	0.3	0.11	0.2	-0.13	0.22
YIL017W	-0.87	-0.49	-0.51	-0.57	0.07	-0.89	0.04	-0.47	0.54	-0.32	-0.21	0.43	0.32	-0.32	2.49	-0.63	0.13	-0.51	0.63	0.41	0.81	-0.32	0.31	-0.12
YIL018W	-0.49	-0.38	-0.13	0.21	0.4	0.2	0.14	0.21	0.51	0.04	0.76	0.21	0.21	0.01	0.42	-0.34	0.01	0.08	0.23	-0.42	-0.84	-0.36	-0.4	-0.3
